# This automated data download from the USGS sediment portal have not received director's approval and as such are provisional and are subject to revision. The data are released on the conditions that neither the USGS nor the United States Government may be held liable for any damages resulting from its use.
#
# Field name  Field description  Units  
# SITE_NO   USGS site identifier    
# STATION_NM   USGS site name    
# DATETIME   Date/time of sample collection    
# DCOMMENT   Quality control comment on the relation of SSC with daily flow    
# ICOMMENT   Quality control comment on the relation of SSC with instantaneous flow    
# SSC   Suspended-sediment concentration   milligrams per liter
"# DAILYFLOW   Discharge, mean daily   cubic feet per second"
"# INSTFLOW   Discharge, instantaneous   cubic feet per second"
# GH   Gage height   feet  
"# P2  Suspended sediment, diameter, percent smaller than 0.002 millimeters.   percent"
"# P4   Suspended sediment, diameter, percent smaller than 0.004 millimeters.   percent"
"# P8   Suspended sediment, diameter, percent smaller than 0.008 millimeters.   percent"
"# P16   Suspended sediment, diameter, percent smaller than 0.016 millimeters.   percent"
"# P31   Suspended sediment, diameter, percent smaller than 0.031 millimeters.   percent"
"# P63   Suspended sediment, diameter, percent smaller than 0.063 millimeters.   percent"
"# P125   Suspended sediment, diameter, percent smaller than 0.125 millimeters.   percent"
"# P250   Suspended sediment, diameter, percent smaller than 0.250 millimeters.   percent"
"# P500   Suspended sediment, diameter, percent smaller than 0.500 millimeters.   percent"
"# P1MILLI   Suspended sediment, diameter, percent smaller than 1.0 millimeters.   percent"
"# P2MILLI   Suspended sediment, diameter, percent smaller than 2.0 millimeters.   percent"
"# LOI   Loss on ignition of total solids, water, unfiltered   milligrams per liter"
"# TSS   Total solids dried at 105 degrees Celsius, water, unfiltered   milligrams per liter"
"# SS   Suspended solids, water, unfiltered   milligrams per liter"
# AGENCYCODE   Agency analyzing sample   NWIS code
# SAMPMETHOD   Sampling method   NWIS code
# SAMPLEPURPOSE   Sampling purpose   NWIS code
# SAMPTYPE   Sampler type   NWIS code
# NUMBERSAMPPTS   Number of Sampling points   NWIS code
# VISITPURPOSE   site visit purpose   NWIS code
# WIDTH   Stream width   feet
# VELOCITY   Stream velocity   feet per second
"# TURB70   Turbidity, water, unfiltered   Jackson Turbidity Units"
"# TURB76   Turbidity, water, unfiltered   nephelometric Turbidity Units"
"# TURB1350   Turbidity, severity   code"
"# TURB61028   Turbidity, water, unfiltered, field   nephelometric Turbidity Units"
"# TURB63675   Turbidity, water, unfiltered, broad band light source (400680 nm), detection angle 90 +/- 30 degrees to incident light   nephelometric Turbidity Units"
"# TURB63676  Turbidity, water, unfiltered, broad band light source (400-680 nm), detectors at multiple angles including 90 +/- 30 degrees, ratiometric correction   nephelometric Turbidity ratio Units"
"# TURB63680  Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +/- 2.5 degrees   formazin nephelometric Units"
"# TEMPC   Temperature, water   degrees Celsius"
"# TEMPAIRC   Temperature, air   degrees Celsius"
"# SC   Specific conductance, water, unfiltered, field   microsiemens per centimeter at 25 degrees Celsius"
"# SCLAB   Specific conductance, water, unfiltered, laboratory   microsiemens per centimeter at 25 degrees Celsius"
"# DSS   Dissolved solids drived at 105 degrees Celcius, water, filtered   milligrams per liter"
"# PH   pH, water, unfiltered, field   standard Units"
"# PHLAB   pH, water, unfiltered, laboratory   standard Units"
# ENDDATE   End date of sample (rarely present; only in the case of composite samples collected over time)   
# ENDTIME  End time of sample (rarely present; only in the case of composite samples collected over time)
#
#
SITE_NO,STATION_NM,DATETIME,DCOMMENT,ICOMMENT,SSC,DAILYFLOW,INSTFLOW,GH,P2,P4,P8,P16,P31,P63,P125,P250,P500,P1MILLI,P2MILLI,LOI,TSS,SS,AGENCYCODE,SAMPMETHOD,SAMPLEPURPOSE,SAMPTYPE,NUMBERSAMPPTS,WIDTH,VELOCITY,TURB70,TURB76,TURB61028,TURB63675,TURB63676,TURB63680,TEMPC,TEMPAIRC,SC,SCLAB,DSS,PH,PHLAB,END_DATE,END_TIME
03407908,"NEW RIVER AT CORDELL, TN",2008-02-06 14:45:00,S,S, 819,,6040, 9.84,,,,,, 80,,,,,,,,,,10,10,,,,,,,,,442,,,,,,, 6.6,,,
03407908,"NEW RIVER AT CORDELL, TN",2008-02-06 16:00:00,S,S, 776,,6000, 9.81,,,,,, 82,,,,,,,,,,10,10,,,,,,,,,498,,,,123,,, 9.1,,,
03408500,"NEW RIVER AT NEW RIVER, TN",2006-11-16 11:15:00,G,G, 284,3490,4950,,,,,,, 93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03408500,"NEW RIVER AT NEW RIVER, TN",2006-11-16 13:15:00,S,S, 286,3490,4555,,,,,,, 96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03408500,"NEW RIVER AT NEW RIVER, TN",2006-11-16 14:55:00,S,S, 231,3490,4205,,,,,,, 96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03408500,"NEW RIVER AT NEW RIVER, TN",2006-11-16 15:33:00,S,S, 216,3490,4035,,,,,,, 94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03408500,"NEW RIVER AT NEW RIVER, TN",2006-11-30 12:45:00,G,G, 2,223,223,    0,,,,,, 88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03408500,"NEW RIVER AT NEW RIVER, TN",2007-01-08 11:30:00,G,G, 117,3210,3710,,,,,,, 95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03408500,"NEW RIVER AT NEW RIVER, TN",2007-02-09 12:25:00,G,G, 1,191,190,,,,,,, 82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03408500,"NEW RIVER AT NEW RIVER, TN",2007-03-02 17:00:00,G,G, 353,5540,5460,,,,,,, 93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03408500,"NEW RIVER AT NEW RIVER, TN",2007-04-02 15:30:00,G,G, 10,774,762,,,,,,, 94,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,
03408500,"NEW RIVER AT NEW RIVER, TN",2007-04-04 15:15:00,G,G, 291,2280,3605,,,,,,, 94,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,
03408500,"NEW RIVER AT NEW RIVER, TN",2007-06-26 14:00:00,G,G, 9,32,30, 1.86,,,,,, 42,,,,,,,,,,10,10,3001,,,,,,,,,,,,,,,,,,
03408500,"NEW RIVER AT NEW RIVER, TN",2007-07-25 13:00:00,S,S, 36,869,829, 4.11,,,,,, 87,,,,,,,,,,10,10,3002,,,,,,,, 24,,,,, 344,,,,,
03408500,"NEW RIVER AT NEW RIVER, TN",2007-07-25 14:30:00,G,G, 45,869,757, 3.98,,,,,, 98,,,,,,,,,,10,10,3002,,,,,,,, 47,,,,, 310,,,,,
03408500,"NEW RIVER AT NEW RIVER, TN",2007-07-26 11:00:00,S,S, 624,1060,1080, 4.46,,,,,,100,,,,,,,,,,10,10,3002,,,,,,,,802,,,,, 165,,,,,
03408500,"NEW RIVER AT NEW RIVER, TN",2007-07-26 11:01:00,G,G, 581,1060,1079, 4.46,,,,,,100,,,,,,,,,,10,10,3002,,,,,,,,815,,,,, 167,,,,,
03408500,"NEW RIVER AT NEW RIVER, TN",2007-08-07 13:45:00,G,G, 31,109,106, 2.47,,,,,, 99,,,,,,,,,,10,10,3001,,,,,,,, 36,,,,, 253,,,,,
03408500,"NEW RIVER AT NEW RIVER, TN",2007-11-26 11:30:00,G,G, 13,1380,201,,,,,,, 93,,,,,,,,,,10,10,3001,,,,,,,, 12,,,,,,,,,,
03408500,"NEW RIVER AT NEW RIVER, TN",2007-11-27 09:45:00,G,G, 150,1860,2105, 6.06,,,,,, 98,,,,,,,,,,10,10,3009,,,,,,,,130,,,,,,,,,,
03408500,"NEW RIVER AT NEW RIVER, TN",2007-11-27 12:30:00,S,S, 119,1860,1840, 5.67,,,,,, 96,,,,,,,,,,10,10,3009,,,,,,,,105,,,,,,,,,,
03408500,"NEW RIVER AT NEW RIVER, TN",2008-01-11 14:45:00,G,G, 409,7190,6875,,,,,,, 92,,,,,,,,,,10,10,3009,,,,,,,,276,,,,,,,,,,
03408500,"NEW RIVER AT NEW RIVER, TN",2008-01-11 17:00:00,S,S, 323,7190,5070,,,,,,, 92,,,,,,,,,,70,10,,,,,,,,,276,,10.3,,105,,,,,,
03408500,"NEW RIVER AT NEW RIVER, TN",2008-03-20 11:45:00,S,S, 203,4800,4745,,,,,,, 91,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,
03408500,"NEW RIVER AT NEW RIVER, TN",2008-03-20 13:15:00,G,G, 160,4800,4585,,,,,,, 91,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,
03408500,"NEW RIVER AT NEW RIVER, TN",2008-07-11 10:00:00,G,G, 60,731,829, 4.12,,,,,, 98,,,,,,,,,,10,10,3009,,,,,,,, 67,,,,,,,,,,
03408500,"NEW RIVER AT NEW RIVER, TN",2008-07-23 10:00:00,S,S, 32,215,162, 3.10,,,,,,,,,,,,,,,,900,10,4115,,,,,,,, 7.4,,,,,,,,,,
03408500,"NEW RIVER AT NEW RIVER, TN",2008-07-23 15:00:00,G,G, 17,215,340, 3.21,,,,,,,,,,,,,,,,900,10,4115,,,,,,,, 12,,,,,,,,,,
03408500,"NEW RIVER AT NEW RIVER, TN",2008-08-26 16:14:00,S,S, 73,51,24,,,,,,,,,,,,,,,,,900,10,4115,,,,,,,, 69,,,,,,,,,,
03408500,"NEW RIVER AT NEW RIVER, TN",2008-08-26 17:09:00,G,G, 179,51,84,,,,,,,,,,,,,,,,,900,10,4115,,,,,,,,192,,,,,,,,,,
03408500,"NEW RIVER AT NEW RIVER, TN",2008-08-26 18:09:00,S,S, 61,51,86,,,,,,,,,,,,,,,,,900,10,4115,,,,,,,, 60,,,,,,,,,,
03408500,"NEW RIVER AT NEW RIVER, TN",2008-08-27 10:14:00,G,G, 60,418,284,,,,,,,,,,,,,,,,,900,10,4115,,,,,,,, 47,,,,,,,,,,
03408500,"NEW RIVER AT NEW RIVER, TN",2010-05-03 14:00:00,G,G,1590,16000,26500,23.10,,,,,, 90,,,,,,,,,,10,,3009,,,,,,,,1360,,,,,,,,,,
03409500,"CLEAR FORK NEAR ROBBINS, TN",2004-04-06 18:20:00,G,G, 9,364,352,,,,,,,,,,,,,,,,1028,,,,,,,,,,,,,15.5,, 40,,,,,,
03414500,"EAST FORK OBEY RIVER NEAR JAMESTOWN, TN",2002-10-03 11:30:00,G,G, 4,28,27,,,,,,, 54,,,,,,,,,1028,,10,,,,,,,,,,,20.5,,282,,,,,,
03414500,"EAST FORK OBEY RIVER NEAR JAMESTOWN, TN",2002-12-10 12:45:00,G,G, 5,420,355,,,,,,, 94,,,,,,,,,1028,,10,,,,,,,,,,, 7.5,,125,,,,,,
03414500,"EAST FORK OBEY RIVER NEAR JAMESTOWN, TN",2003-04-24 10:00:00,G,G, 7,410,409, 2.75,,,,,, 95,,,,,,,,,1028,,10,,,,,,,,,,,12.6,,128,,,,,,
03414500,"EAST FORK OBEY RIVER NEAR JAMESTOWN, TN",2003-07-29 08:10:00,G,G, 2,49,52, 1.56,,,,,, 64,,,,,,,,,1028,,10,,,,,,,,,,,21.0,,285,,,,,,
